Observation #,Code,Food name in English,Nom d’aliment en français,"Weight of ingredients (edible portion, raw) / Poids des ingrédients (parte comestible, cru) (g)",Yield factor / Factor de rendement,Method,Méthode
,13_015,Salt,Sel,5.0,,,
,12_019,"Water, tap",Eau du robinet,1149.0,,,
,03_004,"Cowpea, dry, raw","Niébé, sec, cru",730.0,,,
,13_024,"Potash, solid","Potasse, solide",10.0,,,
,04_017,"Okra, fruit, fresh, raw","Gombo, fruit, frais, cru",152.0,,,
,08_001,"Egg, chicken, raw","Œuf, poule, cru",344.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",7.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",78.0,,,
,04_131,"Green leafy vegetable, average, fresh, raw","Légumes-feuilles verts, non spécifiés, frais, crus",306.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",12.0,,,
1,03_152,Gonré-1 (Burkina Faso)*: steamed paste of dehulled cowpea and potash,"Gonré-1 (Burkina Faso)*: pâte de niebé décortiqué et potasse, cuite à la vapeur",,0.6483767718335619,"Shell and grind the cowpeas. Add the potash and mix. Put the dough in small sachets, steam them, then remove from heat and let cool. Tear open the bags and remove the food.","Écosser et écraser les niébés. Ajouter la potasse et mélanger. Mettre la pâte dans des petits sachets, cuire à la vapeur, les retirer et laisser refroidir. Ouvrir les sachets en les déchirant et en extraire la nourriture."
,03_006,"Cowpea, white, dry, raw","Niébé, blanc, sec, cru",450.0,,,
,13_024,"Potash, solid","Potasse, solide",7.0,,,
,12_019,"Water, tap",Eau du robinet,1730.0,,,
2,03_152,Gonré-1 (Burkina Faso)*: steamed paste of dehulled cowpea and potash,"Gonré-1 (Burkina Faso)*: pâte de niebé décortiqué et potasse, cuite à la vapeur",,0.5617206982543641,"Shell and grind the cowpeas. Add the potash and mix. Put the dough in small sachets, steam them, then remove from heat and let cool. Tear open the bags and remove the food.","Écosser et écraser les niébés Ajouter la potasse et mélanger Mettre la pâte dans des petits sachets, cuire à la vapeur, les retirer et laisser refroidir. Ouvrir les sachets en les déchirant et en extraire la nourriture."
,03_006,"Cowpea, white, dry, raw","Niébé, blanc, sec, cru",500.0,,,
,13_024,"Potash, solid","Potasse, solide",6.0,,,
,12_019,"Water, tap",Eau du robinet,1098.0,,,
1,03_153,Gonré-2 (Burkina Faso)*: steamed paste of non-dehulled cowpea and potash,"Gonré-2 (Burkina Faso)*: pâte de niebé non décortiqué et potasse, cuite à la vapeur",,0.5027835768963118,Soak the cowpeas for 2 hours. Grind them with the potash and leaves to obtain a paste. Make some balls and steam for about 25 minutes.,Faire tremper les niébés pendant 2 heures. Les moudre avec la potasse et les feuilles pour obtenir une pâte. Faire des boules et les cuire à la vapeur pendant environ 25 minutes.
,03_006,"Cowpea, white, dry, raw","Niébé, blanc, sec, cru",500.0,,,
,04_010,"Cowpea, leaves, fresh, raw","Niébé, feuilles, fraîches, crues",180.0,,,
,13_024,"Potash, solid","Potasse, solide",28.0,,,
,12_019,"Water, tap",Eau du robinet,2166.0,,,
2,03_153,Gonré-2 (Burkina Faso)*: steamed paste of non-dehulled cowpea and potash,"Gonré-2 (Burkina Faso)*: pâte de niebé non décortiqué et potasse, cuite à la vapeur",,0.5074142724745134,Soak the cowpeas for 2 hours. Grind them with the potash and leaves to obtain a paste. Make some balls and steam for about 25 minutes.,Faire tremper les niébés pendant 2 heures. Les moudre avec la potasse et les feuilles pour obtenir une pâte. Faire des boules et les cuire à la vapeur pendant environ 25 minutes.
,03_006,"Cowpea, white, dry, raw","Niébé, blanc, sec, cru",300.0,,,
,04_010,"Cowpea, leaves, fresh, raw","Niébé, feuilles, fraîches, crues",125.0,,,
,13_024,"Potash, solid","Potasse, solide",14.0,,,
,12_019,"Water, tap",Eau du robinet,1719.0,,,
1,03_147,Haricot bambara (Burkina Faso)*: fried paste of cowpea and okra powder with egg and onion,"Haricot bambara (Burkina Faso)*: pâte frite de niébé et gombo en poudre, avec œuf et oignon",,0.9570815450643777,"Mix all the ingredients, including the cut onion, then fry.","Mélanger tous les ingrédients, y compris l’oignon coupé, et faire frire."
,13_015,Salt,Sel,1.0,,,
,12_019,"Water, tap",Eau du robinet,80.0,,,
,13_024,"Potash, solid","Potasse, solide",2.0,,,
,03_045,"Cowpea, dehulled, raw","Niébé, décortiqué, cru",70.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",3.0,,,
,04_077,"Okra, fruit, dried","Gombo, fruit, séché",3.0,,,
,08_001,"Egg, chicken, raw","Œuf, poule, cru",47.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",11.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",16.0,,,
2,03_147,Haricot bambara (Burkina Faso)*: fried paste of cowpea and okra powder with egg and onion,"Haricot bambara (Burkina Faso)*: pâte frite de niébé et gombo en poudre, avec œuf et oignon",,1.004255319148936,"Mix all the ingredients, including the cut onion, then fry.","Mélanger tous les ingrédients, y compris l’oignon coupé, et faire frire."
,13_015,Salt,Sel,1.0,,,
,12_019,"Water, tap",Eau du robinet,82.0,,,
,13_024,"Potash, solid","Potasse, solide",3.0,,,
,03_045,"Cowpea, dehulled, raw","Niébé, décortiqué, cru",67.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.0,,,
,04_077,"Okra, fruit, dried","Gombo, fruit, séché",2.0,,,
,08_001,"Egg, chicken, raw","Œuf, poule, cru",49.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",13.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",16.0,,,
1,03_142,"Porridge of cowpeas, yam and potash (Burkina Faso)*","Bouillie de niébé, igname et potasse (Burkina Faso)*",,0.5009061254077565,"Pour the washed cowpeas into boiling water. Add the potash and cook for about an hour. Add the peeled, washed and diced yam and cook for about 30 minutes. Using a spatula, mash up the yam. Mix everything and serve.","Verser les niébés lavés dans l’eau bouillante. Ajouter la potasse et laisser cuire environ une heure.  Ajouter l’igname pelé, lavé et coupé en dés et laisser cuire environ 30 minutes. Avec une spatule, écraser en purée l’igname. Mélanger le tout et servir."
,03_006,"Cowpea, white, dry, raw","Niébé, blanc, sec, cru",300.0,,,
,13_024,"Potash, solid","Potasse, solide",48.0,,,
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",355.0,,,
,12_019,"Water, tap",Eau du robinet,2056.0,,,
2,03_142,"Porridge of cowpeas, yam and potash (Burkina Faso)*","Bouillie de niébé, igname et potasse (Burkina Faso)*",,0.39690487027765137,"Pour the washed cowpeas into boiling water. Add the potash and cook for about an hour. Add the peeled, washed and diced yam and cook for about 30 minutes. Using a spatula, mash up the yam. Mix everything and serve.","Verser les niébés lavés dans l’eau bouillante. Ajouter la potasse et laisser cuire environ une heure. Ajouter l’igname pelé, lavé et coupé en dés et laisser cuire environ 30 minutes. Avec une spatule, écraser en purée l’igname. Mélanger le tout et servir."
,03_006,"Cowpea, white, dry, raw","Niébé, blanc, sec, cru",250.0,,,
,13_024,"Potash, solid","Potasse, solide",6.0,,,
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",286.0,,,
,12_019,"Water, tap",Eau du robinet,1655.0,,,
1,03_145,Soumma (Burkina Faso)*: bambara groundnuts boiled with potash,Soumma (Burkina Faso)*: pois bambara bouilli avec potasse,,0.16100981767180925,Boil the bambara groundnuts for about 2 hours with the potash and salt.,Faire bouillir pendant environ 2 heures les pois bambara avec la potasse et le sel.
,03_001,"Bambara groundnut, dry, raw","Pois bambara, sec, cru",300.0,,,
,13_015,Salt,Sel,2.0,,,
,13_024,"Potash, solid","Potasse, solide",3.0,,,
,12_019,"Water, tap",Eau du robinet,3260.0,,,
2,03_145,Soumma (Burkina Faso)*: bambara groundnuts boiled with potash,Soumma (Burkina Faso)*: pois bambara bouilli avec potasse,,0.14968696642003415,Boil the bambara groundnuts for about 2 hours with the potash and salt.,Faire bouillir pendant environ 2 heures les pois bambara avec la potasse et le sel.
,03_001,"Bambara groundnut, dry, raw","Pois bambara, sec, cru",250.0,,,
,13_015,Salt,Sel,2.0,,,
,13_024,"Potash, solid","Potasse, solide",2.0,,,
,12_019,"Water, tap",Eau du robinet,3260.0,,,
Fruits and their products/Fruits et produits dérivés,,,,,,,
1,05_056,Sweet baobab paste (Burkina Faso)*,Pâte de baobab sucrée (Burkina Faso)*,,0.9839142091152815,"Put the monkey bread powder in a bowl. Add the water as you stir, then the sugar.","Mettre le pain de singe écrasé dans un bol. Ajouter l’eau en remuant, puis le sucre."
,05_004,"Baobab, fruit/monkey bread, raw","Baobab, fruit/pain de singe, cru",80.0,,,
,13_002,"Sugar, white","Sucre, blanc",27.0,,,
,12_019,"Water, tap",Eau du robinet,266.0,,,
2,05_056,Sweet baobab paste (Burkina Faso)*,Pâte de baobab sucrée (Burkina Faso)*,,0.9798270893371758,"Put the monkey bread powder in a bowl. Add the water as you stir, then the sugar.","Mettre le pain de singe écrasé dans un bol. Ajouter l’eau en remuant, puis le sucre."
,05_004,"Baobab, fruit/monkey bread, raw","Baobab, fruit/pain de singe, cru",70.0,,,
,13_002,"Sugar, white","Sucre, blanc",26.0,,,
,12_019,"Water, tap",Eau du robinet,251.0,,,
"Meat, poultry and their products/Viande, volaille et produits dérivés",,,,,,,
1,07_136,Fried mopane worms with vegetables (Burkina Faso)*,Chenille du mopane frite avec légumes (Burkina Faso)*,,0.16801853997682503,Boil the mopane worms in water with the salt and potash. Fry the chilli and onion. Add the mopane worms and other ingredients and simmer.,Faire bouillir les chenilles du mopane dans l’eau avec le sel et la potasse. Faire revenir le piment et l’oignon. Ajouter les chenilles du mopane et les autres ingrédients et laisser mijoter.
,13_015,Salt,Sel,2.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",26.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",15.0,,,
,12_019,"Water, tap",Eau du robinet,700.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",29.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",8.0,,,
,07_056,"Mopane worm, canned","Chenille du mopane, en conserve",80.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",1.0,,,
2,07_136,Fried mopane worms with vegetables (Burkina Faso)*,Chenille du mopane frite avec légumes (Burkina Faso)*,,0.23577235772357724,Boil the mopane worms in water with the salt and potash. Fry the chilli and onion. Add the mopane worms and other ingredients and simmer.,Faire bouillir les chenilles du mopane dans l’eau avec le sel et la potasse. Faire revenir le piment et l’oignon. Ajouter les chenilles du mopane et les autres ingrédients et laisser mijoter.
,13_015,Salt,Sel,2.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",15.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",15.0,,,
,12_019,"Water, tap",Eau du robinet,459.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",27.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",4.0,,,
,07_056,"Mopane worm, canned","Chenille du mopane, en conserve",90.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",1.0,,,
1,07_135,Kédjénou (Burkina Faso)*: chicken stew with vegetables,Kédjénou (Burkina Faso)*: poulet mijoté avec légumes,,0.5342015063106852,"Mash the onion, pepper, chilli, garlic and tomato together to get a paste. Cut the chicken into small pieces and place, along with the dough, in a pressure cooker. Add the salt, stock cube and a little water. Cover and simmer.","Piler les oignons, le poivre, le piment, l’ail et les tomates ensemble jusqu’à obtenir une  pâte. Couper le poulet en petits morceaux et le mettre, avec la pâte, dans une cocotte-minute. Ajouter, le sel, le bouillon-cube et un peu d’eau. Couvrir et laisser mijoter."
,13_015,Salt,Sel,4.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.5,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",10.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",74.0,,,
,13_014,"Pepper, black","Poivre, noir",0.83,,,
,12_019,"Water, tap",Eau du robinet,597.0,,,
,07_036,"Chicken, light meat with skin, raw","Poulet, blanc avec la peau, cru",119.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",7.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",58.0,,,
2,07_135,Kédjénou (Burkina Faso)*: chicken stew with vegetables,Kédjénou (Burkina Faso)*: poulet mijoté avec légumes,,0.5495026054002842,"Mash the onion, pepper, chilli, garlic and tomato together to get a paste. Cut the chicken into small pieces and place, along with the dough, in a pressure cooker. Add the salt, stock cube and a little water. Cover and simmer.","Piler les oignons, le poivre, le piment, l’ail et les tomates ensemble jusqu’à obtenir une  pâte. Couper le poulet en petits morceaux et le mettre, avec la pâte, dans une cocotte-minute. Ajouter, le sel, le bouillon-cube et un peu d’eau. Couvrir et laisser mijoter."
,13_015,Salt,Sel,6.5,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.5,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",9.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",60.0,,,
,13_014,"Pepper, black","Poivre, noir",0.5,,,
,12_019,"Water, tap",Eau du robinet,800.0,,,
,07_036,"Chicken, light meat with skin, raw","Poulet, blanc avec la peau, cru",107.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",9.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",61.0,,,
Soups and sauces/Soupes et sauces,,,,,,,
1,14_021,"Babenda-1 (Burkina Faso)*: sauce from green leaves (amaranth, tchénébdo and hibiscus), groundnut powder, rice and onion","Babenda-1 (Burkina Faso)*: sauce de feuilles vertes (amaranthe, tchénébdo et oseille de Guinée), poudre d’arachide, riz et oignon",,0.5954248366013072,"Boil the amaranth leaves for a few minutes. Then add the other leaves and baking soda. Add the rice, previously soaked and crushed. Simmer and add the groundnut flour, stock cube and salt.","Faire bouillir quelques minutes les feuilles d’amaranthe. Ensuite ajouter les autres feuilles et le bicarbonate de soude. Ajouter le riz, après l’avoir fait tremper et broyé. Laisser mijoter et ajouter la farine d’arachide, le bouillon-cube et le sel."
,13_015,Salt,Sel,2.0,,,
,04_016,"Hibiscus, leaves, fresh, raw","Oseille de Guinée, feuilles, fraîches, crues",140.0,,,
,06_027,"Groundnut flour, with fat","Farine d’arachide, non dégraissée",53.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",45.0,,,
,12_019,"Water, tap",Eau du robinet,1100.0,,,
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",93.0,,,
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",45.0,,,
,13_019,Baking soda (sodium bicarbonate),Bicarbonate de soude,2.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",45.0,,,
2,14_021,"Babenda-1 (Burkina Faso)*: sauce from green leaves (amaranth, tchénébdo and hibiscus), groundnut powder, rice and onion","Babenda-1 (Burkina Faso)*: sauce de feuilles vertes (amaranthe, tchénébdo et oseille de Guinée), poudre d’arachide, riz et oignon",,0.559539052496799,"Boil the amaranth leaves for a few minutes. Then add the other leaves and baking soda. Add the rice, previously soaked and crushed. Simmer and add the groundnut flour, stock cube and salt.","Faire bouillir quelques minutes les feuilles d’amaranthe. Ensuite ajouter les autres feuilles et le bicarbonate de soude. Ajouter le riz, après l’avoir fait tremper et broyé. Laisser mijoter et ajouter la farine d’arachide, le bouillon-cube et le sel."
,13_015,Salt,Sel,2.0,,,
,04_016,"Hibiscus, leaves, fresh, raw","Oseille de Guinée, feuilles, fraîches, crues",110.0,,,
,06_027,"Groundnut flour, with fat","Farine d’arachide, non dégraissée",53.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",50.0,,,
,12_019,"Water, tap",Eau du robinet,1120.0,,,
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",125.0,,,
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",54.0,,,
,13_019,Baking soda (sodium bicarbonate),Bicarbonate de soude,2.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",41.0,,,
1,14_030,"Babenda-2 (Burkina Faso)*: sauce from green leaves (amaranth, hibiscus and spider plant), rice and groundnut powder","Babenda-2 (Burkina Faso)*: sauce de feuilles vertes (amaranthe, oseille de Guinée et plante-araignée), riz et poudre d’arachide",,0.6284454244762955,Boil the chopped leaves for 20 minutes. Add the washed rice and then the groundnut flour. Mix with a spatula until you get a thick sauce and cook it.,Faire bouillir les feuilles hachées pendant 20 minutes. Ajouter le riz lavé puis la farine d’arachide. Remuer avec une spatule jusqu’à obtenir une sauce épaisse et laisser cuire.
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",225.0,,,
,04_072,"Spider plant, leaves, fresh, raw","Plante-araignée, feuilles, fraîches, crues",150.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",136.0,,,
,06_027,"Groundnut flour, with fat","Farine d’arachide, non dégraissée",98.0,,,
,04_073,"Hibiscus cannabinus, leaves, fresh, raw","Hibiscus cannabinus, feuilles, fraîches, crues",122.0,,,
,12_019,"Water, tap",Eau du robinet,1990.0,,,
2,14_030,"Babenda-2 (Burkina Faso)*: sauce from green leaves (amaranth, hibiscus and spider plant), rice and groundnut powder","Babenda-2 (Burkina Faso)*: sauce de feuilles vertes (amaranthe, oseille de Guinée et plante-araignée), riz et poudre d’arachide",,0.7318181818181818,Boil the chopped leaves for 20 minutes. Add the washed rice and then the groundnut flour. Mix with a spatula until you get a thick sauce and cook it.,Faire bouillir les feuilles hachées pendant 20 minutes. Ajouter le riz lavé puis la farine d’arachide. Remuer avec une spatule jusqu’à obtenir une sauce épaisse et laisser cuire.
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",340.0,,,
,04_072,"Spider plant, leaves, fresh, raw","Plante-araignée, feuilles, fraîches, crues",198.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",120.0,,,
,06_027,"Groundnut flour, with fat","Farine d’arachide, non dégraissée",110.0,,,
,04_073,"Hibiscus cannabinus, leaves, fresh, raw","Hibiscus cannabinus, feuilles, fraîches, crues",232.0,,,
,12_019,"Water, tap",Eau du robinet,2300.0,,,
1,14_025,"Banakou vand zéédo (Burkina Faso)*: cassava leaf sauce with fish, vegetables and red palm oil","Banakou vand zéédo (Burkina Faso)*: sauce de feuilles de manioc avec poisson, légumes et huile de palme rouge",,0.8669426374926079,"Slice the cassava leaves finely and boil in unsalted water, then drain. Cut the onion and tomato, crush the garlic, and crumble the fish. Add these last 4 ingredients to the hot palm oil and fry for a few minutes. Add the cassava leaves, some of the water in which you boiled the leaves, the chilli, salt and stock cube, and cook.","Couper les feuilles de manioc en tranches fines et les mettre à bouillir dans l’eau non salée, puis égoutter. Couper l’oignon et la tomate, écraser l’ail et émietter le poisson. Ajouter ces 4 ingrédients à l’huile palme chaude et faire frire quelques minutes. Ajouter les feuilles de manioc, une partie de l’eau de cuisson des feuilles, le piment, le sel et le bouillon-cube, et laisser cuire."
,13_015,Salt,Sel,5.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.5,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",10.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",165.0,,,
,04_008,"Cassava, leaves, fresh, raw","Manioc, feuilles, fraîches, crues",301.0,,,
,12_019,"Water, tap",Eau du robinet,195.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",113.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",10.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",44.0,,,
2,14_025,"Banakou vand zéédo (Burkina Faso)*: cassava leaf sauce with fish, vegetables and red palm oil","Banakou vand zéédo (Burkina Faso)*: sauce de feuilles de manioc avec poisson, légumes et huile de palme rouge",,0.8679692125518058,"Chop the cassava leaves finely and boil in unsalted water, then wring them out. Cut the onion and tomato, crush the garlic, and crumble the fish. Add these last 4 ingredients to the hot palm oil and fry for a few minutes. Add the cassava leaves, some of the water in which you boiled the leaves, the chilli, salt and stock cube, and cook.","Couper les feuilles de manioc en tranches fines et les mettre à bouillir dans l’eau non salée, puis égoutter. Couper l’oignon et la tomate, écraser l’ail et émietter le poisson. Ajouter ces 4 ingrédients à l’huile palme chaude et faire frire quelques minutes. Ajouter les feuilles de manioc, une partie de l’eau de cuisson des feuilles, le piment, le sel et le bouillon cube, et laisser cuire."
,13_015,Salt,Sel,8.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.5,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",6.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",165.0,,,
,04_008,"Cassava, leaves, fresh, raw","Manioc, feuilles, fraîches, crues",301.0,,,
,12_019,"Water, tap",Eau du robinet,195.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",113.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",10.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",44.0,,,
1,14_029,"Bengedo (Burkina Faso)*: cowpea leaf sauce with fish, vegetables, groundnut paste and fermented African locust beans","Bengedo (Burkina Faso)*: sauce de feuilles de niébé avec poisson, légumes, pâte d’arachide et néré fermenté (soumbala)",,0.48642153328526794,"Fry the sliced onion and diced okra. Add the tomato paste, the previously fried and crumbled fish, and the groundnut flour dissolved in water. Let it boil. Add the water, cut cowpea leaves and other ingredients and cook.","Faire revenir les rondelles d’oignons et les gombos coupés en dés. Ajouter le concentré de tomate, le poisson préalablement frit et émietté et la farine d’arachide dissoute dans l’eau. Laisser bouillir. Ajouter l’eau, couper les feuilles de niébé et les autres ingrédients et laisser cuire."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",58.0,,,
,04_010,"Cowpea, leaves, fresh, raw","Niébé, feuilles, fraîches, crues",84.0,,,
,13_024,"Potash, solid","Potasse, solide",1.0,,,
,13_015,Salt,Sel,5.0,,,
,13_014,"Pepper, black","Poivre, noir",0.5,,,
,04_017,"Okra, fruit, fresh, raw","Gombo, fruit, frais, cru",54.0,,,
,12_019,"Water, tap",Eau du robinet,1454.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",216.0,,,
,06_026,"Groundnut paste, from groundnuts only","Arachide, pâte pure",100.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",8.0,,,
,13_006,"Chilli pepper, dried","Piment rouge, séché",2.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",60.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",33.0,,,
2,14_029,"Bengedo (Burkina Faso)*: cowpea leaf sauce with fish, vegetables, groundnut paste and fermented African locust beans","Bengedo (Burkina Faso)*: sauce de feuilles de niébé avec poisson, légumes, pâte d’arachide et néré fermenté (soumbala)",,0.4745762711864407,"Fry the sliced onion and diced okra. Add the tomato paste, the previously fried and crumbled fish, and the groundnut flour dissolved in water. Let it boil. Add the water, cut cowpea leaves and other ingredients and cook.","Faire revenir les rondelles d’oignons et les gombos coupés en dés. Ajouter le concentré de tomate, le poisson préalablement frit et émietté et la farine d’arachide dissoute dans l’eau. Laisser bouillir. Ajouter l’eau, couper les feuilles de niébé et les autres ingrédients et laisser cuire."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",40.0,,,
,13_015,Salt,Sel,5.0,,,
,13_014,"Pepper, black","Poivre, noir",0.5,,,
,04_017,"Okra, fruit, fresh, raw","Gombo, fruit, frais, cru",51.0,,,
,12_019,"Water, tap",Eau du robinet,1213.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_010,"Cowpea, leaves, fresh, raw","Niébé, feuilles, fraîches, crues",73.0,,,
,13_024,"Potash, solid","Potasse, solide",1.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",169.0,,,
,06_026,"Groundnut paste, from groundnuts only","Arachide, pâte pure",80.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",6.0,,,
,13_006,"Chilli pepper, dried","Piment rouge, séché",3.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",52.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",42.0,,,
1,14_014,"Bite zindo (Burkina Faso)*: hibiscus leaf sauce with fish, fermented African locust beans and tomatoes","Bite zindo (Burkina Faso)*: sauce de feuilles d’oseille de Guinée avec poisson, néré fermenté (soumbala) et tomates",,0.6278790306429001,"Boil the leaves and then drain. Slice the onion and tomato finely and fry. Add the garlic, parsley, pepper and soumbala, crushed. Add the water, stock cube, salt and boiled fish. Simmer until cooked.","Faire bouillir les feuilles et égoutter. Émincer l’oignon et la tomate et faire revenir. Ajouter l’ail, le persil, le poivre et le soumbala écrasés. Ajouter l’eau, le bouillon-cube, le sel et le poisson bouilli. Laisser cuire à feu doux."
,13_015,Salt,Sel,2.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",84.0,,,
,13_014,"Pepper, black","Poivre, noir",1.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",6.0,,,
,12_019,"Water, tap",Eau du robinet,510.0,,,
,04_016,"Hibiscus, leaves, fresh, raw","Oseille de Guinée, feuilles, fraîches, crues",199.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",5.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",11.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",47.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",16.0,,,
,13_019,Baking soda (sodium bicarbonate),Bicarbonate de soude,0.6,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",44.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",68.0,,,
2,14_014,"Bite zindo (Burkina Faso)*: hibiscus leaf sauce with fish, fermented African locust beans and tomatoes","Bite zindo (Burkina Faso)*: sauce de feuilles d’oseille de Guinée avec poisson, néré fermenté (soumbala) et tomates",,0.6116015132408575,"Boil the leaves and then drain. Slice the onion and tomato finely and fry. Add the garlic, parsley, pepper and soumbala, crushed. Add the water, stock cube, salt and boiled fish. Simmer until cooked.","Faire bouillir les feuilles et égoutter. Émincer l’oignon et la tomate et faire revenir. Ajouter l’ail, le persil, le poivre et le soumbala écrasés. Ajouter l’eau, le bouillon-cube, le sel et le poisson bouilli. Laisser cuire à feu doux."
,13_015,Salt,Sel,2.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",63.0,,,
,13_014,"Pepper, black","Poivre, noir",1.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",5.0,,,
,12_019,"Water, tap",Eau du robinet,510.0,,,
,04_016,"Hibiscus, leaves, fresh, raw","Oseille de Guinée, feuilles, fraîches, crues",175.0,,,
